"ID","RUT_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_FAENA","NOMBRE_INSTALACION","TIPO_DEPOSITO","RECURSO","TIPO_MINERIA","CANTIDAD_MUROS__CONTENCION_","CUT_REG","CUT_PROV","CUT_COM","REGION","PROVINCIA","COMUNA","UTM_NORTE","UTM_ESTE","DATUM","HUSO","LATITUD","LONGITUD","ESTADO_INSTALACION","METODO_CONSTRUCTIVO_MURO","VOL_AUTORIZADO","VOL_ACTUAL","TONELAJE_AUTORIZADO","TONELAJE_ACTUAL","RES_APRUEBA","FECHA_RES_APRUEBA","RES_PDC_APRUEBA","FECHA_RES_PDC","Shape_Length","Shape_Area"
"0001-1N","89468900-5","CIA. MINERA DOÑA INES DE COLLAHUASI ","COLLAHUASI","PAMPA PABELLON","EMBALSE","COBRE-MOLIBDENO","METÁLICO","1","1","14","1405","Tarapacá","Tamarugal","Pica","76840839024","5411701216","WGS84","19S","-209432343041405","-686040141830991","ACTIVO","AGUAS ABAJO","1606000000","745260340","2329000000","1080627493","2234","12/5/2022","","","198670552706959","178954718552903"
"0003-1N","61703000-4","ENAMI","PIRQUINEROS DE CHOJA","RELAVE 1","EMBALSE","ORO","METÁLICO","1","1","14","1405","Tarapacá","Tamarugal","Pica","7670700453","5126732958","WGS84","19S","-21064578072119","-688780054368971","INACTIVO","","100","","150","","","","","","606892603374205","193734167348863"
"0006-2N","61703000-4","ENAMI","PLANTA JOSE ANTONIO MORENO","PUNTA MORADO","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","71912877934","3535010335","WGS84","19S","-253880207554352","-70456289970482","INACTIVO","","1121664","","1682496","","1161","9/29/1992","1530","6/4/2015","184219024069059","179250784511167"
"0007-2N","61703000-4","ENAMI","PLANTA JOSE ANTONIO MORENO","EMBALSE DE RELAVE","EMBALSE","COBRE","METÁLICO","0","2","21","2104","Antofagasta","Antofagasta","Taltal","71911662633","3536968123","WGS84","19S","-253891371440616","-70454357453","INACTIVO","EXCAVACION TERRENO","105000","108919","157500","163379","1483","12/11/2012","1530","6/4/2015","635858944354314","240633090029859"
"0008-2N","61703000-4","ENAMI","PLANTA JOSE ANTONIO MORENO","JOSE MORENO 1","ACOPIO","COBRE","METÁLICO","","2","21","2104","Antofagasta","Antofagasta","Taltal","71903907216","3515637059","WGS84","19S","-253959272729261","-704756416526854","INACTIVO","NO APLICA","79200","","118800","","","","","","417956816000815","656625780910933"
"0009-3N","61703000-4","ENAMI","PLANTA MATTA","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69683561377","3760869948","WGS84","19S","-274025264242647","-702533675581345","ACTIVO","EJE CENTRAL","18419769","17764894","28233659","27180288","1904","7/24/2019","2649","10/22/2015","460870542484911","907988290639633"
"0011-3N","61703000-4","ENAMI","PLANTA VALLENAR","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","33","3301","Atacama","Huasco","Vallenar","68389792318","3303101867","WGS84","19S","-285649932542488","-707348373439102","INACTIVO","AGUAS ABAJO","2358313","2351045","3938383","3879224","1692","9/2/2021","1574","6/9/2015","158351134399171","155706294338735"
"0012-3N","61703000-4","ENAMI","PLANTA MATTA","TRANQUE DE RELAVE 1","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69676622807","3761467256","WGS84","19S","-274087945395296","-702528341388443","INACTIVO","","138935","","208402","","","","2649","10/22/2015","834943725234262","385830704468177"
"0013-3N","61703000-4","ENAMI","PLANTA MATTA","TRANQUE DE RELAVE 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69673920498","3760072146","WGS84","19S","-27411220931169","-702542726309161","INACTIVO","","3810667","","5716000","","","","2649","10/22/2015","163980494308206","135258077365945"
"0014-3N","61703000-4","ENAMI","EL SALADO","EL SALADO","TRANQUE DE RELAVE","COBRE-ORO","METÁLICO","1","3","32","3201","Atacama","Chañaral","Chañaral","70776054695","3670050364","WGS84","19S","-264155607448902","-703335714031204","INACTIVO","","300000","","450000","","163","3/1/1990","1780","9/16/2009","920944720298944","466345070212947"
