"ID","RUT_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_EMPRESA_O_PRODUCTOR_MINERO","NOMBRE_FAENA","NOMBRE_INSTALACION","TIPO_DEPOSITO","RECURSO","TIPO_MINERIA","CANTIDAD_MUROS__CONTENCION_","CUT_REG","CUT_PROV","CUT_COM","REGION","PROVINCIA","COMUNA","UTM_NORTE","UTM_ESTE","DATUM","HUSO","LATITUD","LONGITUD","ESTADO_INSTALACION","METODO_CONSTRUCTIVO_MURO","VOL_AUTORIZADO","VOL_ACTUAL","TONELAJE_AUTORIZADO","TONELAJE_ACTUAL","RES_APRUEBA","FECHA_RES_APRUEBA","RES_PDC_APRUEBA","FECHA_RES_PDC","Shape_Length","Shape_Area"
"0003-1N","61703000-4","ENAMI","PIRQUINEROS DE CHOJA","RELAVE 1","EMBALSE","ORO","METÁLICO","1","1","14","1405","Tarapacá","Tamarugal","Pica","7670700453","5126732958","WGS84","19S","-21064578072119","-688780054368971","INACTIVO","","100","","150","","","","","","606892603374205","193734167348863"
"0006-2N","61703000-4","ENAMI","PLANTA JOSE ANTONIO MORENO","PUNTA MORADO","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","71912877934","3535010335","WGS84","19S","-253880207554352","-70456289970482","INACTIVO","","1121664","","1682496","","1161","9/29/1992","1530","6/4/2015","184219024069059","179250784511167"
"0009-3N","61703000-4","ENAMI","PLANTA MATTA","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","31","3101","Atacama","Copiapó","Copiapó","69683561377","3760869948","WGS84","19S","-274025264242647","-702533675581345","ACTIVO","EJE CENTRAL","18419769","17764894","28233659","27180288","1904","7/24/2019","2649","10/22/2015","460870542484911","907988290639633"
"0011-3N","61703000-4","ENAMI","PLANTA VALLENAR","TRANQUE DE RELAVE 3","TRANQUE DE RELAVE","COBRE","METÁLICO","1","3","33","3301","Atacama","Huasco","Vallenar","68389792318","3303101867","WGS84","19S","-285649932542488","-707348373439102","INACTIVO","AGUAS ABAJO","2358313","2351045","3938383","3879224","1692","9/2/2021","1574","6/9/2015","158351134399171","155706294338735"
"0018-4N","61703000-4","ENAMI","FAENA DELTA","DELTA","ESPESADO","COBRE","METÁLICO","1","4","43","4301","Coquimbo","Limarí","Ovalle","66227403806","2861808565","WGS84","19S","-305086340978076","-712281215817986","ACTIVO","NO APLICA","6666667","608450333","10000000","9126755","441","5/18/2010","","","417448362855689","100174682950367"
"0022-1N","96567040-8","CIA. MINERA TECK QUEBRADA BLANCA","QUEBRADA BLANCA","QB2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","1","14","1405","Tarapacá","Tamarugal","Pica","7671819005","5158193404","WGS84","19S","-210544468815943","-688477316149146","ACTIVO","EJE CENTRAL","100","","1240000000","","3333","12/4/2018","","","92922026150817","841055581821319"
"0023-4N","78126110-6","CIA. MINERA TECK CDA","TECK-CDA","HIPOGENO","EMBALSE","COBRE","METÁLICO","5","4","41","4103","Coquimbo","Elqui","Andacollo","66492708718","2974370194","WGS84","19S","-302713358511332","-711057546795926","ACTIVO","AGUAS ABAJO","297000000","170305774","416000000","238428084","1050","12/29/2008","1680","6/24/2015","125195319587473","467826350235639"
"0024-2N","77418580-1","MANTOS COPPER","MANTOS BLANCOS","TRANQUE DE RELAVE","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","74070834713","3931790877","WGS84","19S","-234427070363854","-700457447180925","INACTIVO","","5333333","","8000000","","1218","7/12/1979","209","2/14/2013","375434103449229","754496747754934"
"0029-2N","79587210-8","MINERA ESCONDIDA LTDA.","ESCONDIDA","EMBALSE DE RELAVE","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73080509695","4930926972","WGS84","19S","-243406975474084","-69068091470677","INACTIVO","NO APLICA","40158","","60237","","","","","","628110423857185","251522587596343"
"0035-2N","79873300-1","CIA. MINERA CERRO DOMINADOR","PLANTA CALLEJAS ZAMORA","DEPOSITO 5","EMBALSE","COBRE","METÁLICO","1","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74773517523","4592299715","WGS84","19S","-228109609908827","-693972747661922","ACTIVO","NO APLICA","237152","169568","429246","325181","","","","","692731655146538","329593492239358"
"0038-2N","76485762-3","CIA. MINERA ZALDIVAR","ZALDIVAR","EMBALSE DE RELAVES 3A","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73264384602","4960590011","WGS84","19S","-241746323778791","-690387995339729","ACTIVO","NO APLICA","14957106","10855404","22435660","16283106","938","4/12/2017","1647","6/19/2015","63209934648823","161567817124426"
"0039-2N","88325800-2","ALTONORTE","FAENA ALTONORTE","EMBALSE DE RELAVES","EMBALSE","COBRE","METÁLICO","1","2","21","2101","Antofagasta","Antofagasta","Antofagasta","73665702713","3629739371","WGS84","19S","-238062898401222","-703451191123434","ACTIVO","AGUAS ABAJO","823667","643309","17205000","1993275","1786","9/9/2005","1616","8/25/2009","313682731612308","552253040175971"
"0040-2N","96508670-6","MINERA MERIDIAN","EL PEÑON","EL PEÑON","FILTRADO","ORO","METÁLICO","0","2","21","2101","Antofagasta","Antofagasta","Antofagasta","72995872649","4503153781","WGS84","19S","-244163623328326","-694900735081056","INACTIVO","NO APLICA","9866667","","14800000","","85","1/13/2003","137","1/29/2010","20580338462396","270326734908616"
"0047-2N","76765460-K","CIA. MINERA NOVA VENTURA","PLANTA SANTO DOMINGO","TRANQUE 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72232313281","3487855657","WGS84","19S","-250991732366542","-70499607892322","INACTIVO","","1570000","","2355000","","3834","12/19/2003","","","258104074348755","303446566272374"
"0049-2N","79963260-8","MINERA LAS CENIZAS S.A.","LAS CENIZAS TALTAL","LAS LUCES 2","TRANQUE DE RELAVE","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","71603657113","3410776894","WGS84","19S","-256658799288142","-705834103028418","INACTIVO","AGUAS ABAJO","6333334","6331078","9500000","9496617","2921","8/1/2003","160","2/9/2009","302780793459329","29863090690994"
"0052-2N","sin rut conocido","CIA. MINERA SOLEDAD","PLANTA SOLEDAD","SOLEDAD I","TRANQUE DE RELAVE","ORO","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72223818792","4446725171","WGS84","19S","-251134108337315","-695487864218543","INACTIVO","","40000","","58000","","1602","12/31/1992","","","359089268730707","689189938298805"
"0067-RM","61704000-K","CODELCO","ANDINA","OVEJERIA","TRANQUE DE RELAVE","COBRE","METÁLICO","2","13","133","13303","Metropolitana de Santiago","Chacabuco","Tiltil","63428796427","3323315319","WGS84","19S","-330396960303142","-707955457522894","ACTIVO","AGUAS ABAJO","1286666667","4241633566667","1930000000","636245035","654","5/16/2014","2777","11/3/2015","219730398495749","126821704639757"
"0068-6C","61704000-K","CODELCO","EL TENIENTE","PISCINA EMERGENCIA","EMBALSE","COBRE","METÁLICO","0","6","61","6105","Libertador General Bernardo O'Higgins","Cachapoal","Doñihue","62145778962","3292038771","WGS84","19S","-341958251172268","-708536316557268","INACTIVO","EXCAVACION TERRENO","10924","","16386","","","","","","355900311681076","701292402781789"
"0070-11S","78543580-K","C.M. CERRO BAYO LTDA.","LAGUNA VERDE","TK FACHINAL","EMBALSE","ORO","METÁLICO","1","11","114","11401","Aysén del General Carlos Ibáñez del Campo","General Carrera","Chile Chico","48404813828","2702155366","WGS84","19S","-465499448954929","-719974592620872","INACTIVO","AGUAS ABAJO","6650000","4982576","9179105","8159680","1040","5/19/2016","","","28742442098833","304767379562695"
"0083-2N","76081590-K","SCM SIERRA GORDA","PROYECTO SIERRA GORDA","SIERRA GORDA","ESPESADO","COBRE","METÁLICO","10","2","21","2103","Antofagasta","Antofagasta","Sierra Gorda","74722306592","4600056132","WGS84","19S","-228572406614373","-693898485901807","ACTIVO","NO APLICA","900000000","212903491","1350000000","404516632","534","5/2/2013","","","234790126850533","171735178954482"
"0084-2N","78097950-K","MINERA GUANACO SpA","GUANACO","GUANACO","FILTRADO","COBRE","METÁLICO","1","2","21","2104","Antofagasta","Antofagasta","Taltal","72249444341","446221566","WGS84","19S","-250903255596","-695333217625311","ACTIVO","NO APLICA","2411764","1331240","4100000","1970235","1591","8/1/2016","","","240663273205624","325496046852304"
