id,latitud,longitud,r_j
0003-1N,-21.064578072119,-68.878005436897,0.0666944780237084
0006-2N,-25.388020755435,-70.456289970482,0.0104843832655652
0007-2N,-25.389137144062,-70.454357453,0.0104843832655652
0008-2N,-25.395927272926,-70.475641652685,0.0104843832655652
0009-3N,-27.402526424265,-70.253367558134,0.0087551905577401
0011-3N,-28.564993254249,-70.73483734391,0.0210198923039085
0012-3N,-27.40879453953,-70.252834138844,0.0087551905577401
0013-3N,-27.411220931169,-70.254272630916,0.0087551905577401
0018-4N,-30.508634097808,-71.228121581799,0.0927122226115884
0022-1N,-21.054446881594,-68.847731614915,0.0666944780237084
0023-4N,-30.271335851133,-71.105754679593,0.0760499613393383
0024-2N,-23.442707036385,-70.045744718092,0.0
0025-2N,-23.444445779165,-70.05626323381,0.0
0026-2N,-23.433432876914,-70.092018651639,0.0
0029-2N,-24.340697547408,-69.068091470677,0.0110737533659085
0030-2N,-24.418567935382,-69.120655423528,0.0110737533659085
0031-2N,-24.296338748838,-69.05018997924,0.0103316482667357
0035-2N,-22.810960990883,-69.397274766192,0.0024176937734439
0038-2N,-24.174632377879,-69.038799533973,0.0103316482667357
0039-2N,-23.806289840122,-70.345119112343,0.0001604977391569
0040-2N,-24.416362332833,-69.490073508106,0.0055293041323015
0047-2N,-25.099173236654,-70.499607892322,0.0163125490639435
0048-2N,-25.107132551125,-70.501101455036,0.0
0049-2N,-25.665879928814,-70.583410302842,0.018750894725208
0050-2N,-25.66126254055,-70.589998995384,0.018750894725208
0051-2N,-25.673574169464,-70.571757660066,0.0087772197225922
0052-2N,-25.113410833731,-69.548786421854,0.0064324973209635
0053-2N,-25.114166085641,-69.547783160809,0.0064324973209635
0054-2N,-25.113416498205,-69.546383841842,0.0064324973209635
0055-2N,-25.11326547192,-69.546838175612,0.0064324973209635
0067-RM,-33.039696030314,-70.795545752289,0.30379643716271
0068-6C,-34.195825117227,-70.853631655727,0.480966857253772
0069-6C,-34.230955297743,-70.683452179121,0.515370806624162
0070-11S,-46.549944895493,-71.997459262087,0.450079305397886
0071-6C,-34.194834261266,-70.850838743838,0.480966857253772
0072-6C,-34.231471184127,-70.680889994535,0.515370806624162
0075-6C,-34.090722906586,-70.406032020279,0.486288267321855
0076-6C,-34.091374257139,-70.397116426079,0.486288267321855
0083-2N,-22.857240661437,-69.389848590181,0.0025512451598531
0084-2N,-25.0903255596,-69.533321762531,0.0064324973209635
0094-2N,-22.751920711195,-69.316769680286,0.0044595159904948
0096-3N,-27.391313564096,-70.341262692537,0.0109897674354661
0098-3N,-27.392045049532,-70.340439902797,0.0109897674354661
0099-3N,-27.426886000003,-70.316448035931,0.0087551905577401
0100-3N,-27.437439077821,-70.271323850503,0.0087551905577401
0101-3N,-27.448716212173,-70.270706658449,0.0087551905577401
0102-3N,-27.449057797402,-70.270598176742,0.0087551905577401
0103-3N,-27.449316885142,-70.270655101214,0.0087551905577401
0104-3N,-27.392666492417,-70.342061553239,0.0109897674354661
0105-3N,-27.416235007199,-70.317634133558,0.0087551905577401
0106-3N,-27.417245273057,-70.319829616107,0.0087551905577401
0107-3N,-27.416637211548,-70.324520816507,0.0087551905577401
0108-3N,-27.41683098643,-70.322748616303,0.0087551905577401
0117-3N,-28.548138607794,-70.737050077213,0.0210198923039085
0127-3N,-28.070279045733,-70.03575668476,0.0296456621311671
0128-3N,-28.064485048274,-70.035731976072,0.0296456621311671
0129-3N,-27.376252834443,-70.266127636653,0.0087551905577401
0130-3N,-27.383440938886,-70.261260283026,0.0087551905577401
0132-3N,-26.750329277555,-69.901724389005,0.0126364429847401
0140-3N,-27.391114933776,-70.336913867689,0.0109897674354661
0141-3N,-27.389760297967,-70.342888898539,0.0109897674354661
0142-3N,-27.414227356285,-70.355907326789,0.0109897674354661
0143-3N,-27.41422946147,-70.356503506036,0.0109897674354661
0148-3N,-26.320495953099,-70.605521350564,0.0208588046140752
0149-3N,-26.319224421442,-70.609066517285,0.0208588046140752
0150-3N,-26.320103098399,-70.607075800496,0.0208588046140752
0151-3N,-27.56367671037,-70.243139620121,0.0084013481793295
0154-3N,-27.718842068761,-70.189054568201,0.0107309255494077
0155-3N,-27.716801343216,-70.189043841345,0.0107309255494077
0156-3N,-27.717966205916,-70.185857299741,0.0107309255494077
0157-3N,-27.506063229507,-70.311255483246,0.0084013481793295
0161-3N,-27.536384202558,-70.322530224337,0.0084013481793295
0171-3N,-27.388710943986,-70.340788146502,0.0109897674354661
0179-3N,-27.428427374905,-70.312875764328,0.0087551905577401
0180-3N,-27.428378120257,-70.312155126808,0.0087551905577401
0196-3N,-27.483913867181,-70.289878035627,0.0087551905577401
0197-3N,-27.426514223339,-70.264037615937,0.0087551905577401
0198-3N,-27.426114817461,-70.263029929978,0.0087551905577401
0199-3N,-27.40481611426,-70.352359207134,0.0109897674354661
